Clause ID,Clause Text,Clause Type,Risk Level,Legal Reference,Risks,Suggested Alternative,Compliance Notes
001,"The employer reserves the right to terminate employment without notice.","Termination","High","Industrial Disputes Act, 1947","Unfair labor practice","Add a notice period clause of at least 30 days.","Ensure grievance redressal mechanism."
002,"The vendor may use customer data for unspecified purposes.","Data Protection","High","Information Technology Act, 2000","Data misuse, privacy violation","Restrict data usage to specific purposes and obtain explicit consent.","Include data processing limitations and security safeguards."
003,"Payment shall be made within a reasonable timeframe without defining the period.","Payment Terms","Medium","Indian Contract Act, 1872","Ambiguity leading to payment delays","Specify a clear payment period (e.g., 30 days from invoice).","Ensure interest clauses for delayed payments."
004,"The company may terminate this agreement at any time without reason.","Termination","High","Indian Contract Act, 1872","Unilateral termination without cause","Include cause-based termination with mutual consent.","Define clear termination triggers."
005,"The employee is prohibited from joining any competitor for five years post-resignation.","Non-Compete","High","Indian Contract Act, 1872 (Section 27)","Restraint of trade, unenforceable clause","Limit non-compete period to a reasonable timeframe (e.g., 6 months).","Ensure compliance with reasonable trade restraint principles."
006,"No liability for data breaches will be accepted by the service provider.","Liability Limitation","High","IT Act, 2000 (Section 43A)","Complete waiver of accountability","Include liability for negligence or gross misconduct.","Ensure compliance with data protection obligations."
007,"Personal data may be transferred outside India without restrictions.","Data Protection","High","Data Protection Bill (Draft)","Non-compliance with cross-border data regulations","Specify data transfer mechanisms compliant with Indian regulations.","Include user consent for data transfers."
008,"Overtime will be compensated based on management discretion.","Labor Compliance","Medium","Factories Act, 1948","Exploitation risk for workers","Define clear overtime compensation rules.","Ensure compliance with statutory overtime rates."
009,"Customer disputes will be resolved exclusively in the vendor's jurisdiction.","Dispute Resolution","Medium","Arbitration and Conciliation Act, 1996","Inconvenience for customers","Allow mutual agreement on jurisdiction.","Ensure fair dispute resolution mechanisms."
010,"The confidentiality obligation shall last indefinitely.","Confidentiality","Low","Indian Contract Act, 1872","Unreasonable duration","Limit confidentiality to a reasonable period (e.g., 3-5 years).","Ensure compliance with trade secret protection norms."
011,"The service provider may terminate support services with a 7-day notice.","Termination","Medium","Indian Contract Act, 1872","Inadequate time for transition","Provide at least a 30-day notice period.","Ensure smooth service handover."
012,"The employer may require employees to work on public holidays without additional pay.","Labor Compliance","High","Factories Act, 1948","Violation of holiday compensation rules","Provide compensatory off or additional pay.","Ensure compliance with holiday compensation rules."
013,"No refunds will be provided under any circumstances.","Refund Policy","High","Consumer Protection Act, 2019","Consumer rights violation","Allow refunds for valid reasons such as service failure.","Ensure transparent refund policy."
014,"The client agrees to waive all rights to claim damages in case of service failure.","Liability Limitation","High","Indian Contract Act, 1872","Unfair limitation of liability","Include liability for gross negligence or willful misconduct.","Ensure reasonable liability limitations."
015,"The contract shall be governed by the laws of a foreign jurisdiction.","Jurisdiction","Medium","Indian Contract Act, 1872","Legal complexity for Indian parties","Specify Indian jurisdiction for disputes.","Ensure legal clarity for Indian parties."
016,"Personal information may be shared with third-party advertisers without user consent.","Data Protection","High","IT Act, 2000 (Section 43A)","Privacy violation","Obtain explicit user consent before sharing data.","Ensure compliance with data protection laws."
017,"The employee agrees to bear relocation expenses at the employer's discretion.","Employment Terms","Medium","Indian Contract Act, 1872","Unfair financial burden on employees","Share relocation expenses between employer and employee.","Ensure fair relocation terms."
018,"The vendor will not be liable for delays caused by force majeure events.","Force Majeure","Low","Indian Contract Act, 1872","Ambiguity in force majeure definition","Define specific force majeure events and time limits.","Ensure clear force majeure terms."
019,"All intellectual property created during the engagement belongs to the vendor.","Intellectual Property","High","Indian Copyright Act, 1957","Loss of ownership for client","Include joint ownership or client rights to IP.","Ensure fair IP ownership terms."
020,"The service provider may modify terms without prior notice.","Contract Modification","High","Indian Contract Act, 1872","Unilateral contract changes","Require prior notice and mutual agreement for modifications.","Ensure transparent contract modification process."
021,"The employer may conduct background checks without informing the employee.","Privacy","High","IT Act, 2000","Privacy violation","Obtain employee consent for background checks.","Ensure compliance with data privacy principles."
022,"The company may terminate the contract without reason during probation.","Termination","Medium","Industrial Disputes Act, 1947","Unfair termination practices","Provide clear probation evaluation criteria.","Ensure fair termination practices during probation."
023,"The vendor may subcontract services without client approval.","Subcontracting","Medium","Indian Contract Act, 1872","Loss of service quality","Require client approval for subcontracting.","Ensure service quality control."
024,"The customer agrees to automatic renewal of the contract without prior notice.","Renewal Terms","High","Consumer Protection Act, 2019","Consumer exploitation","Require explicit customer consent for renewal.","Ensure transparent renewal terms."
025,"The company reserves the right to change working hours without employee consent.","Employment Terms","High","Factories Act, 1948","Unfair labor practice","Require employee consultation for working hour changes.","Ensure compliance with labor laws."
026,"The service provider disclaims all warranties, including merchantability.","Warranty","High","Consumer Protection Act, 2019","Unfair limitation of consumer rights","Include minimum warranty terms for services.","Ensure fair warranty terms."
027,"The employer may transfer the employee to any location without prior notice.","Employment Terms","Medium","Indian Contract Act, 1872","Unfair employment practice","Provide reasonable notice for transfers.","Ensure transparent transfer policies."
028,"The company may collect biometric data without explicit consent.","Data Protection","High","IT Act, 2000","Privacy violation","Obtain explicit consent for biometric data collection.","Ensure compliance with data protection regulations."
029,"The service provider may store customer data indefinitely.","Data Retention","High","IT Act, 2000","Data misuse risks","Specify data retention periods.","Ensure compliance with data retention principles."
030,"The employer may deduct salary for any reason without prior notice.","Salary Terms","High","Payment of Wages Act, 1936","Unfair salary deductions","Specify clear grounds for salary deductions.","Ensure compliance with wage payment rules."
031,"The builder reserves the right to alter the project layout without buyer consent.","Project Modification","High","RERA, 2016","Unilateral project changes","Require buyer consent for significant layout changes.","Ensure compliance with RERA guidelines."
032,"The buyer must pay additional charges for amenities at the builder's discretion.","Payment Terms","High","RERA, 2016","Hidden costs for buyers","Specify amenity charges upfront.","Ensure transparent pricing."
033,"The developer may delay possession without penalty.","Possession Delay","High","RERA, 2016","Financial loss to buyers","Include penalty clauses for possession delays.","Ensure adherence to possession timelines."
034,"The buyer cannot cancel the booking once made, regardless of circumstances.","Cancellation Policy","High","RERA, 2016","Unfair restriction on buyers","Allow cancellation with reasonable penalty.","Ensure fair cancellation terms."
035,"The builder is not liable for structural defects after one year of possession.","Liability Limitation","High","RERA, 2016","Lack of accountability for defects","Extend liability to five years for structural defects.","Ensure compliance with RERA provisions."
036,"The buyer agrees to pay maintenance charges indefinitely without cap.","Maintenance Charges","High","RERA, 2016","Financial burden on buyers","Cap maintenance charges and define escalation rules.","Ensure reasonable maintenance terms."
037,"The builder may transfer the project to another developer without buyer consent.","Project Transfer","High","RERA, 2016","Loss of project accountability","Require buyer consent for project transfers.","Ensure project continuity safeguards."
038,"The buyer must bear all costs related to property registration.","Registration Costs","Medium","Indian Stamp Act, 1899","Unfair cost burden on buyers","Share registration costs between buyer and builder.","Ensure fair cost distribution."
039,"The builder is not responsible for obtaining completion or occupancy certificates.","Compliance","High","RERA, 2016","Legal and occupancy issues for buyers","Mandate builder responsibility for obtaining certificates.","Ensure legal compliance."
040,"The builder reserves the right to change the building specifications without notice.","Specification Changes","High","RERA, 2016","Quality issues for buyers","Require buyer approval for specification changes.","Ensure specification adherence."
